"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
0.86985731,26.096914,0.17172873,273.37006,227.39175,236.95493,209.59479,194.42282
-0.096477814,4.3055835,0.17473195,322.44537,301.90784,283.36429,255.64534,227.26894
-0.87790763,0.87601405,0.079486683,270.76193,266.07065,257.54065,243.33197,230.24794
-0.89944661,0.78596205,0.12517852,286.58655,277.45929,260.51724,238.53232,224.18637
2.6431324,5.9533076,0.10462678,283.65088,278.47556,269.18451,252.64226,226.95346
-1.1307651,0.58990574,0.12636781,296.32068,287.40054,269.59875,244.12187,230.1781
-1.1083107,1.2860574,0.13641106,304.67731,305.82846,273.18463,246.7565,231.20403
-0.94316393,0.96842688,0.13093008,286.91647,277.9361,261.00851,237.11627,222.24051
-1.1526798,1.4413416,0.14128311,302.75793,284.10364,263.53717,244.32176,227.50735
-0.63575643,5.633131,0.17349592,310.70758,325.89398,283.76648,245.89435,225.98294
-0.55846703,2.835602,0.13248985,304.08969,287.4559,263.20724,240.45651,227.44234
-1.2409561,0.66564959,0.12584037,295.7692,285.74606,269.20621,243.98701,229.99507
-1.2399062,2.309962,0.14724477,306.36069,286.44687,268.71252,246.83115,227.04016
-0.92287946,1.8012384,0.14620192,307.29266,284.83813,264.37042,245.96899,227.78671
-0.83341932,2.184171,0.1050075,282.06866,268.66193,257.57675,244.40123,228.44658
-0.91218591,0.96985686,0.12465892,292.87448,283.71109,266.39337,242.19046,228.67055
2.2547491,29.127316,0.13392039,252.27861,233.93738,236.6563,227.56757,221.13513
-0.83711243,0.63240236,0.1376553,290.55533,282.47806,264.63052,235.59186,219.8154
-1.1489277,1.7107663,0.14655706,291.98343,281.2619,262.47754,237.26558,220.40302
1.0237159,1.0479259,0.15065232,261.73581,245.09962,226.70782,205.93907,194.26628
-1.2152781,0.65233755,0.129732,297.57779,289.8425,271.91788,244.78896,230.23108
-0.9739362,0.7842052,0.10452889,291.35248,271.311,256.90247,237.45102,225.41699
1.408752,0.88144606,0.12729815,245.81245,232.8609,219.1989,207.06854,196.19289
-0.98035187,0.78394246,0.12049724,293.62344,284.85501,265.49268,243.2549,230.72478
1.0853153,0.54451495,0.13948789,255.85246,243.21878,224.6897,209.96085,197.5993
-1.2588373,0.53153574,0.11596488,302.53879,288.11819,266.26093,244.39882,231.4328
-0.80717999,0.83824044,0.15886135,304.89404,287.44147,268.63062,241.87256,222.67641
1.452073,1.1807139,0.165553,266.81961,251.69341,231.69049,210.61589,196.01227
1.9090877,9.5391998,0.21410508,296.32791,245.72577,273.52902,227.31952,192.97787
-1.1321276,1.0058997,0.12160598,288.25787,281.56293,266.05862,239.97005,225.42422
-0.94100052,1.1479269,0.12347865,292.96118,280.79712,263.15186,242.44572,229.27742
-0.85679728,2.9124362,0.12945265,291.22723,289.42105,267.06528,244.70226,230.39726
-1.1663924,0.63265496,0.10910182,298.14374,278.23956,257.38409,240.54562,228.81021
1.1700231,1.4585629,0.15781078,273.88303,255.38766,232.41777,208.2823,195.6438
-1.2348235,0.403014,0.12251959,290.09778,280.72968,265.4397,242.07486,227.60127
-1.0448034,0.78656471,0.12480871,292.14478,282.98138,265.74554,242.45776,228.43213
-1.095715,0.96292269,0.11389296,286.42761,274.7789,259.45038,238.65996,225.81436
2.8035591,21.170219,0.10018998,289.77505,250.48688,238.8502,183.21483,215.48056
