"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
-0.021085456,2.7900317,0.1783123,299.63684,283.46545,255.30579,232.88739,210.89525
0.8632803,3.8902743,0.17287689,273.38452,250.7012,212.89409,204.09676,192.85745
0.30853701,4.7210946,0.13439345,268.41629,254.18114,244.73839,224.88477,206.01854
3.2130954,20.932987,0.26442692,295.94742,264.52216,229.89153,190.61057,185.08844
0.9721911,6.4015117,0.24162278,207.18173,169.59859,155.58257,146.85025,135.49054
0.94102633,3.0259502,0.17594706,257.702,225.91069,210.31967,198.9118,186.75255
1.2383327,10.385165,0.23628499,258.66528,251.90292,215.35051,182.86081,168.31979
2.5686147,18.665657,0.20011266,317.67224,258.56415,202.51695,186.42743,190.60815
0.57574832,5.5183787,0.10163285,257.72849,243.14171,237.90137,225.62651,216.08022
3.1608107,11.623749,0.21400645,305.0289,259.08191,223.38684,202.34596,192.15425
0.44726706,2.4961865,0.14472796,288.28677,269.80344,253.69226,232.75012,214.38481
0.57717299,4.3931408,0.25070488,344.73615,279.5448,241.36201,215.13858,201.23335
0.87386763,5.6572337,0.18907234,262.8364,245.05386,232.33109,210.60385,188.87662
-0.088826746,3.1870847,0.12788682,274.44415,298.02332,251.96313,230.94875,216.00073
0.66158289,2.5545578,0.18306324,235.33417,202.43266,190.10724,171.6745,161.49483
1.4084024,1.0845832,0.15981129,312.54749,294.58914,277.48578,250.33034,224.87996
0.36971089,1.0894598,0.15905891,296.81195,280.59482,263.45288,238.80687,215.46611
-0.5875091,1.9623567,0.11268811,279.47739,266.28018,259.52985,239.62567,221.74924
2.2467773,10.315737,0.36484754,296.7951,241.90387,199.44162,160.93852,146.09407
0.53143334,1.5683059,0.13227621,281.45697,264.58237,255.02402,235.77487,216.17413
-0.20975573,1.4629648,0.1270027,283.1861,271.77341,258.83145,238.81891,220.3717
0.64540964,3.3876767,0.16637772,292.06531,270.31882,255.64053,232.18658,210.28355
0.21239209,1.3862491,0.15437061,289.40659,271.39047,255.19019,231.2859,211.56715
1.1436632,13.744678,0.23277678,268.621,258.94223,212.26314,183.30634,172.35843
1.3199714,6.8539095,0.20366962,220.82205,210.78688,185.53397,169.18196,158.83612
0.54562509,6.1729794,0.20990571,315.51443,278.5213,248.16051,219.95027,200.11592
1.1731185,16.674887,0.24814242,333.46072,277.51465,240.33369,211.53584,196.24586
0.016656572,4.3241425,0.12450416,271.09668,259.63821,247.68849,227.97696,209.25523
1.1782501,3.7205601,0.15066227,286.95981,276.26477,261.13855,236.55756,211.63458
1.4757537,4.7608833,0.14885524,259.86942,228.31894,206.8783,193.89783,193.55826
-0.3499079,3.6598694,0.10892506,278.42258,264.77985,254.55441,238.78278,221.69385
0.30813283,1.6859324,0.15183835,293.69086,276.46466,258.72308,235.52682,217.35658
-0.27411854,3.6591129,0.14595722,270.55963,258.24866,245.02496,223.1436,204.60732
1.9681413,8.4843903,0.25072488,323.33643,274.01547,234.96811,205.36349,194.97189
0.26153478,1.2244186,0.11939807,279.58334,269.68546,257.88983,237.34024,220.81483
1.7272083,3.9335928,0.35781831,304.21011,241.70398,198.40607,160.45445,141.1716
0.23022535,6.0548172,0.1678561,281.56052,265.76962,251.67896,229.13292,209.80672
1.5381361,2.2346451,0.20586838,271.17133,248.74812,220.97136,195.78589,183.07996
0.53174651,3.7263157,0.18250671,311.48785,270.72821,247.21887,220.96414,200.27005
0.087581292,0.84362847,0.10243507,274.38876,261.3866,254.42918,239.97728,223.33627
1.254431,1.4247354,0.16194291,266.41986,240.43002,221.70828,206.44962,193.67867
