"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
1,0.44430712,1.5656686,0.12521073,228.31894,218.02126,201.91248,187.12823,178.00096
1,2.7753935,13.50597,0.24124369,220.338,214.209,174.61015,144.94533,133.5808
1,-1.0602514,2.0869477,0.20044947,299.41046,280.59482,252.89513,218.002,199.25618
1,2.0079415,9.6252756,0.17749412,228.98361,216.78583,201.68851,182.21541,169.80811
1,2.4509034,11.50395,0.27597994,212.67494,192.80206,165.50456,136.5598,121.23611
1,-0.20935751,2.6632345,0.16656137,282.00604,269.77454,244.69022,217.52034,200.8119
0,-0.33873081,1.3476461,0.09075053,253.8223,242.24344,234.75859,221.388,211.30225
1,0.038398907,1.2394414,0.095578372,220.27057,208.24377,199.86064,187.45575,182.71391
1,-0.78438151,2.0974073,0.20358258,298.08353,282.18185,251.18286,217.595,199.94495
1,0.17345281,2.3518674,0.1792317,277.40628,262.30417,237.14999,211.43469,195.78589
1,-0.73479581,2.4900711,0.18801729,301.14923,279.76157,250.0871,218.01886,200.429
1,0.74702889,1.0201912,0.11056485,232.59117,214.22104,201.35376,189.47147,183.21724
0,0.17835067,4.9459844,0.16189702,288.45773,250.82404,245.44641,224.09969,210.81096
1,2.4809263,5.9973822,0.14645593,237.73279,226.37547,204.4604,184.91747,176.03343
1,0.45994407,1.4757994,0.12640496,251.83549,237.59793,224.80771,206.2377,195.45355
1,0.23586419,3.2369235,0.13187902,262.55463,252.07632,233.66284,210.97954,196.99724
1,0.44911245,5.6010013,0.17667276,282.61533,262.86288,238.3204,213.89594,198.16524
1,-0.10274142,1.2108877,0.1719303,288.53,274.80298,258.09937,218.82802,202.25446
1,1.304793,0.7291851,0.10664118,231.00414,213.78996,202.73851,190.82489,184.53214
1,0.8744213,2.1432621,0.10643658,218.97493,206.67841,194.76961,180.92699,176.44765
1,2.358748,3.6477444,0.13251413,233.00058,219.86357,210.63997,187.16194,177.04248
0,-1.037891,2.8028178,0.15999787,295.35498,286.07358,263.46011,232.47557,212.79776
1,1.1299176,2.2871132,0.15428242,256.25464,246.58551,230.25998,206.31476,189.95552
1,2.0818417,5.4320674,0.10198242,210.63998,207.55742,199.62704,185.1944,174.25613
1,-0.46673509,1.7279397,0.18907019,297.24063,280.31064,251.14914,217.3036,199.47774
1,2.0735905,10.679043,0.27205133,62.86977,50.561203,42.2407,35.88533,36.022598
1,0.012498223,2.6287563,0.12323148,256.63754,242.12784,225.94199,209.32507,197.37292
1,0.15987879,1.0611433,0.098753668,223.11952,215.70212,197.52223,186.99577,182.56219
1,0.53100145,18.015232,0.21560693,268.43558,222.60416,199.17671,184.78259,179.31105
1,0.38656473,1.5849849,0.12445019,228.60551,213.22884,197.73898,183.23891,178.54764
1,0.14888571,1.8460695,0.11537834,224.51872,214.36313,204.78552,189.13911,181.50015
1,-1.0283023,6.139575,0.14424755,277.09802,256.66644,239.11272,220.53548,207.37439
1,-0.99756479,3.0657439,0.14137207,284.22885,270.81009,243.82324,220.66071,206.54114
1,2.3946333,2.1390557,0.11013422,287.77621,249.14789,241.12601,234.77065,229.43877
1,3.0119977,30.190502,0.2135461,184.35393,161.81754,144.60577,125.45537,114.51469
1,0.87375998,4.3746686,0.14533083,247.77759,240.14584,229.19554,207.86807,191.89897
